Country/Territory,UN Region,IMF[4][5],,World Bank[6],,United Nations[7],
Maldives,Asia,"17,818",2024,"11,781",2022,"10,366",2021
Palau,Oceania,"17,441",2024,"12,922",2021,"12,084",2021
Northern Mariana Islands,Oceania,—,,"17,303",2020,—,
Bulgaria,Europe,"16,943",2024,"13,974",2022,"12,207",2021
Chile,Americas,"16,616",2024,"15,356",2022,"16,265",2021
Montserrat,Americas,—,,—,,"16,199",2021
Mexico,Americas,"15,249",2024,"11,497",2022,"10,046",2021
Kazakhstan,Asia,"14,778",2024,"11,492",2022,"10,055",2021
Russia,Europe,"14,391",2024,"15,271",2022,"12,259",2021
Saint Lucia,Americas,"14,101",2024,"13,031",2022,"9,824",2021
World,,"13,840",2024,"12,688",2022,"12,230",2021
Malaysia,Asia,"13,315",2024,"11,993",2022,"11,101",2021
China,Asia,"13,136",[n 4]2024,"12,720",[n 5]2022,"12,437",[n 4]2021
Mauritius,Africa,"12,973",2024,"10,256",2022,"8,873",2021
Argentina,Americas,"12,812",2024,"13,651",2022,"10,761",2021
Turkey,Asia,"12,765",2024,"10,675",2022,"9,661",2021
Montenegro,Europe,"12,646",2024,"10,093",2022,"9,252",2021
Turkmenistan,Asia,"12,412",2024,"8,793",2022,"8,508",2021
Serbia,Europe,"12,384",2024,"9,538",2022,"8,643",2021
Nauru,Oceania,"12,362",2024,"11,971",2022,"12,390",2021
Grenada,Americas,"12,255",2024,"9,689",2022,"8,950",2021
Dominican Republic,Americas,"11,774",2024,"10,111",2022,"8,477",2021
Brazil,Americas,"11,352",2024,"8,918",2022,"8,170",2021
Cuba,Americas,—,,"9,500",2020,"11,255",2021
Saint Vincent and the Grenadines,Americas,"10,150",2024,"9,125",2022,"8,440",2021
Dominica,Americas,"9,455",2024,"8,351",2022,"7,571",2021
Gabon,Africa,"9,308",2024,"8,820",2022,"7,911",2021
Albania,Europe,"8,924",2024,"6,810",2022,"6,396",2021
Georgia,Asia,"8,825",[n 6]2024,"6,675",[n 6]2022,"4,975",[n 6]2021
Armenia,Asia,"8,575",2024,"7,018",2022,"4,967",2021
Bosnia and Herzegovina,Europe,"8,416",2024,"7,569",2022,"7,143",2021
Peru,Americas,"8,291",2024,"7,126",2022,"6,622",2021
Botswana,Africa,"7,875",2024,"7,739",2022,"6,805",2021
Thailand,Asia,"7,812",2024,"6,910",2022,"7,067",2021
North Macedonia,Europe,"7,694",2024,"6,592",2022,"6,600",2021
Azerbaijan,Asia,"7,641",2024,"7,762",2022,"5,296",2021
Belarus,Europe,"7,558",2024,"7,888",2022,"7,121",2021
Moldova,Europe,"7,488",[n 7]2024,"5,714",[n 7]2022,"4,468",[n 7]2021
Colombia,Americas,"7,327",2024,"6,624",2022,"6,104",2021
Jamaica,Americas,"7,309",2024,"6,047",2022,"5,184",2021
Belize,Americas,"7,170",2024,"6,984",2022,"6,229",2021
Libya,Africa,"6,975",2024,"6,716",2022,"5,791",2021
Equatorial Guinea,Africa,"6,733",2024,"7,182",2022,"7,605",2021
Marshall Islands,Oceania,"6,711",2024,"6,225",2022,"6,111",2021
Suriname,Americas,"6,702",2024,"5,859",2022,"5,259",2021
Ecuador,Americas,"6,567",2024,"6,391",2022,"5,965",2021
Kosovo,Europe,"6,389",2024,"5,340",2022,"5,663",2021
Fiji,Oceania,"6,287",2024,"5,356",2022,"4,647",2021
Mongolia,Asia,"6,182",2024,"5,046",2022,"4,510",2021
Tuvalu,Oceania,"6,001",2024,"5,222",2022,"5,370",2021
Paraguay,Americas,"5,984",2024,"6,153",2022,"6,035",2021
Iraq,Asia,"5,979",2024,"5,937",2022,"4,686",2021
South Africa,Africa,"5,975",2024,"6,767",2022,"7,055",2021
Tonga,Oceania,"5,840",2024,"4,426",2021,"4,451",2021
Algeria,Africa,"5,722",2024,"4,343",2022,"3,700",2021
Guatemala,Americas,"5,678",2024,"5,473",2022,"4,883",2021
Ukraine,Europe,"5,663",[n 8]2024,"4,534",[n 8]2022,"4,596",[n 8]2021
El Salvador,Americas,"5,537",2024,"5,127",2022,"4,551",2021
Iran,Asia,"5,310",2024,"4,670",2022,"6,766",2021
Indonesia,Asia,"5,271",2024,"4,788",2022,"4,333",2021
Micronesia,Oceania,"5,120",2024,"3,714",2022,"3,573",2021
Samoa,Oceania,"4,840",2024,"3,746",2022,"3,919",2021
Namibia,Africa,"4,745",2024,"5,031",2022,"4,836",2021
Jordan,Asia,"4,705",2024,"4,311",2022,"4,058",2021
Cape Verde,Africa,"4,656",2024,"3,754",2022,"3,293",2021
Vietnam,Asia,"4,623",2024,"4,164",2022,"3,756",2021
Tunisia,Africa,"4,435",2024,"3,747",2022,"3,807",2021
Eswatini,Africa,"4,324",2024,"3,987",2022,"3,969",2021
Djibouti,Africa,"4,184",2024,"3,136",2022,"3,348",2021
Philippines,Asia,"4,130",2024,"3,499",2022,"3,461",2021
Morocco,Africa,"4,078",2024,"3,442",2022,"3,853",2021
Bolivia,Americas,"4,014",2024,"3,600",2022,"3,345",2021
Bhutan,Asia,"4,014",2024,"3,560",2021,"3,063",2021
Venezuela,Americas,"3,867",2024,"15,976",2014,"3,965",2021
Vanuatu,Oceania,"3,734",2024,"3,231",2022,"3,073",2021
Honduras,Americas,"3,505",2024,"3,040",2022,"2,772",2021
Palestine,Asia,"3,396",[n 9]2023,"3,789",[n 9]2022,"3,514",[n 10]2021
Sri Lanka,Asia,"3,342",2022,"3,354",2022,"3,918",2021
Lebanon,Asia,"3,283",2022,"4,136",2021,"6,785",2021
Egypt,Africa,"3,225",2024,"4,295",2022,"3,898",2021
São Tomé and Príncipe,Africa,"3,167",2024,"2,387",2022,"2,486",2021
Nicaragua,Americas,"2,791",2024,"2,255",2022,"2,046",2021
India,Asia,"2,731",2024,"2,411",2022,"2,274",2021
Ivory Coast,Africa,"2,717",2024,"2,486",2022,"2,539",2021
Uzbekistan,Asia,"2,666",2024,"2,255",2022,"2,032",2021
Bangladesh,Asia,"2,646",2024,"2,688",2022,"2,450",2021
Cambodia,Asia,"2,628",2024,"1,760",2022,"1,608",2021
Papua New Guinea,Oceania,"2,530",2024,"3,116",2022,"2,673",2021
Congo,Africa,"2,457",2024,"2,649",2022,"2,200",2021
Kiribati,Oceania,"2,446",2024,"1,702",2022,"1,765",2021
Angola,Africa,"2,432",2024,"3,000",2022,"2,258",2021
Mauritania,Africa,"2,347",2024,"2,065",2022,"2,166",2021
Solomon Islands,Oceania,"2,253",2024,"2,205",2022,"2,306",2021
Ghana,Africa,"2,230",2024,"2,204",2022,"2,409",2021
Zimbabwe,Africa,"2,088",2024,"1,677",2022,"1,508",2021
Kenya,Africa,"1,983",2024,"2,099",2022,"2,082",2021
Laos,Asia,"1,976",2024,"2,054",2022,"2,569",2021
Haiti,Americas,"1,941",2024,"1,748",2022,"1,664",2021
Kyrgyzstan,Asia,"1,922",2024,"1,655",2022,"1,339",2021
Ethiopia,Africa,"1,910",2024,"1,028",2022,825,2021
Senegal,Africa,"1,900",2024,"1,599",2022,"1,637",2021
Cameroon,Africa,"1,815",2024,"1,564",2022,"1,668",2021
Guinea,Africa,"1,651",2024,"1,515",2022,"1,185",2021
Benin,Africa,"1,512",2024,"1,303",2022,"1,361",2021
Pakistan,Asia,"1,461",2023,"1,589",2022,"1,480",2021
East Timor,Asia,"1,454",2024,"2,389",2022,"1,517",2021
Zambia,Africa,"1,413",2024,"1,457",2022,"1,095",2021
Nepal,Asia,"1,397",2024,"1,337",2022,"1,159",2021
Comoros,Africa,"1,384",2024,"1,485",2022,"1,631",2021
Tajikistan,Asia,"1,271",2024,"1,054",2022,897,2021
Myanmar,Asia,"1,248",2024,"1,149",2022,"1,089",2021
Tanzania,Africa,"1,220",2024,"1,193",2022,"1,136",[n 11]2021
Uganda,Africa,"1,202",2024,964,2022,930,2021
Zanzibar,Africa,—,,"1,192",2022,"1,211",2021
Nigeria,Africa,"1,110",2024,"2,163",2022,"2,019",2021
Lesotho,Africa,"1,107",2024,970,2022,"1,040",2021
Guinea-Bissau,Africa,"1,087",2024,776,2022,759,2021
Togo,Africa,"1,058",2024,943,2022,944,2021
Chad,Africa,"1,014",2024,717,2022,955,2021
Rwanda,Africa,989,2024,966,2022,822,2021
Gambia,Africa,989,2024,808,2022,772,2021
Burkina Faso,Africa,910,2024,830,2022,893,2021
Mali,Africa,899,2024,833,2022,875,2021
Liberia,Africa,855,2024,755,2022,471,2021
Somalia,Africa,776,2024,592,2022,447,2021
DR Congo,Africa,715,2024,654,2022,551,2021
Niger,Africa,670,2024,585,2022,591,2021
Mozambique,Africa,659,2024,558,2022,492,2021
North Korea,Asia,—,,—,,654,2021
Eritrea,Africa,—,,644,2011,623,2021
Sudan,Africa,547,2024,"1,102",2022,786,2021
Madagascar,Africa,538,2024,517,2022,500,2021
Central African Republic,Africa,538,2024,427,2022,461,2021
Sierra Leone,Africa,527,2024,476,2022,505,2021
Yemen,Asia,486,2024,650,2022,302,2021
Malawi,Africa,481,2024,645,2022,613,2021
South Sudan,Africa,422,2024,"1,072",2015,400,2021
Afghanistan,Asia,422,2022,356,2021,373,2021
Syria,Asia,—,,421,2021,925,2021
Burundi,Africa,230,2024,259,2022,311,2021
